id	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10
73	24,1874	77,6114	67,0002	99,1458	80,8139	15,5097	42,1508	90,4263	87,9049	65,2751
74	31,637	24,6139	71,9061	30,5361	42,6434	69,5312	40,4388	43,0894	2,6218	86,2272

76	53,8665	46,1278	78,6044	82,6457	68,4997	4,5387	42,4993	50,7242	7,5862	77,9156
77	11,4837	20,7412	49,423	34,1797	90,745	72,1192	39,1727	76,1459	32,8676	76,7411
78	26,5722	47,1163	91,3658	17,2872	18,1872	8,1685	51,7309	64,3806	9,6441	6,3763
79	83,4799	79,8055	82,604	94,9966	68,4404	77,5656	44,7064	76,9508	94,6684	9,9396
80	53,8352	87,3994	96,8103	61,3117	59,86	44,9709	41,4148	3,5737	84,1128	29,8703
81	34,3405	97,7898	94,2469	23,7192	80,0015	25,324	63,8144	31,3036	67,6084	10,4653
82	20,602	66,3328	17,7852	40,3211	21,3834	38,8013	34,6147	96,7444	19,3627	86,8514
83	37,5799	45,7592	39,8892	52,305	42,7693	2,1131	19,1937	15,628	23,6623	14,3852
84	18,5939	56,4144	81,737	99,5291	78,0989	82,0384	89,7002	26,6133	83,685	26,6798
85	13,702	86,9256	60,1888	8,5018	68,2738	69,3243	3,614	36,1966	11,2753	82,1903
86	88,4779	16,1114	23,7204	15,38	86,8001	3,2458	86,0867	49,7811	90,9487	26,4423
87	58,6104	18,609	63,4027	27,4819	29,0137	33,5919	86,8625	84,7298	26,624	51,1119
88	71,052	42,9214	88,421	62,5477	0,7902	25,662	21,9532	62,0169	87,6401	46,3129
89	73,3592	77,7117	97,7751	5,2246	34,6474	0,4395	87,7349	58,1606	12,6978	88,4192

91	26,6188	61,9361	41,689	6,7164	27,97	45,2571	89,5179	93,0555	98,6851	40,4868
92	82,0407	91,5931	63,1174	77,4146	47,0895	23,7504	99,7822	91,6647	66,8326	57,2526
93	33,8784	55,1713	33,3684	54,6114	14,943	76,0029	17,6706	76,8486	26,6605	96,2616
94	77,4603	15,3186	5,7983	2,999	33,7804	77,7221	9,9101	69,3223	34,0582	88,8179
95	2,894	61,663	93,4581	49,7261	54,0036	33,8809	58,8604	90,1103	80,8359	35,2145
--
97	45,677	75,1588	46,4177	42,7677	88,7016	88,4363	38,0643	15,5758	17,9179	70,6911
98	40,3993	18,1328	85,0545	98,795	51,3944	7,8841	73,2674	93,2583	48,8202	63,1477
99	89,8198	39,4301	42,9391	60,5094	45,6319	92,937	88,2197	63,9476	12,9044	93,1879
100	63,6556	22,1302	73,9596	42,443	84,3056	33,8053	26,4808	28,8636	25,8743	72,9211
101	38,4062	9,5056	33,1169	69,092	36,8721	5,5434	92,6785	13,0868	10,4545	32,0298
102	54,434	75,5299	6,2742	76,9707	46,8068	43,9594	11,9425	30,5654	71,057	28,7507
103	72,1446	77,5583	19,8268	0,1184	11,4925	28,4561	93,4712	2,3477	7,1177	52,6423
104	11,8469	53,8389	4,3377	33,4999	45,6086	18,1208	54,8327	45,8828	81,4451	49,1752

106	50,3161	68,1445	78,8447	74,9562	69,8846	48,5023	55,1311	12,8302	85,9177	12,6375
107	11,6947	73,5828	88,912	59,3321	70,1889	17,8152	14,5358	47,9341	7,9218	19,178
108	43,2894	29,8079	52,0073	71,8552	23,8294	75,0028	1,694	26,4163	19,1692	76,8975
109	83,5785	22,7504	66,7513	17,652	56,8996	92,0647	41,223	87,4942	38,6608	10,1934
110	56,2736	26,0442	29,8438	17,7555	59,4229	68,6982	36,6883	39,6756	96,5915	99,7807
111	31,3384	8,4459	36,0374	60,6705	48,244	81,546	98,8475	18,8562	96,9716	67,9023
112	36,0125	4,0015	43,7501	37,4271	17,1765	52,0824	45,4135	48,0058	75,0731	74,6442
113	25,0201	57,1545	56,6896	37,8095	92,6142	30,621	29,7856	42,3819	13,5649	29,8615
114	70,8824	0,0302	27,6121	71,1902	13,1101	94,2048	88,1177	14,7786	68,7689	89,2807
115	39,6608	24,8567	71,6203	63,0952	70,5285	37,9773	7,5827	35,8553	51,5796	24,3783
116	7,5652	60,0864	11,7299	17,4624	40,9941	99,157	6,2829	33,1755	52,2168	20,6989
117	18,3296	11,8436	86,1772	92,4309	42,8002	80,9305	7,7301	63,4543	49,7082	99,4043
118	19,4949	40,1712	44,9142	92,0969	41,3932	46,6188	93,4792	33,4929	12,5012	5,0267
119	79,6872	18,3376	93,4582	8,3725	27,5039	76,0175	53,7941	32,5066	68,5389	44,1581

121	68,0765	15,0723	36,2304	35,1354	96,4396	77,9995	17,7964	33,7087	71,7554	80,6319
122	67,3571	8,3845	5,8812	10,1352	87,2211	87,2572	34,0432	85,3538	89,0258	33,4062
123	61,7379	30,2068	62,1514	17,3113	75,5347	67,5055	69,7313	45,0841	9,1183	79,1706
--
125	16,597	3,1113	30,6943	43,7405	32,6698	85,6291	85,6212	23,5925	4,61	74,2049
126	0,9514	96,2724	14,6066	47,548	66,0124	21,992	53,0289	77,3394	86,3707	36,5329
127	6,8043	99,9837	40,0062	9,6577	36,6518	23,7518	25,9395	30,2582	92,8186	72,8149
--
129	3,5202	80,6726	56,5136	92,7157	86,4796	45,0888	52,2073	64,8426	42,2759	4,5918
130	37,6668	7,1626	93,1079	43,7034	0,4372	97,2093	49,1	84,8029	47,2249	93,6101
131	65,1502	68,6167	98,6695	99,6471	4,8913	67,499	44,8868	63,0952	44,0927	56,5781
--
133	21,6608	39,8246	2,8944	18,4283	7,8771	45,7957	2,0634	73,3085	66,7626	93,8401
134	24,51	6,0798	91,5241	8,0633	16,2576	43,5373	5,743	3,197	30,3502	85,0817

136	22,1476	46,4148	0,2168	77,055	57,499	88,0513	69,2241	80,4491	55,4982	35,88
137	64,9274	17,2826	98,4617	28,5796	38,2144	0,0254	18,1859	17,3704	67,8044	49,6711
138	13,2409	50,8067	39,1018	5,504	70,5887	14,6063	88,6941	34,1442	52,4842	71,1257
139	82,7932	23,8586	12,1016	44,9889	39,4622	99,7654	66,0536	71,8176	47,0645	58,4018
140	33,8715	85,5542	99,5003	65,0993	62,7173	28,1202	99,6031	75,7735	85,145	35,8286
141	40,5975	42,4924	7,5716	85,0684	32,6546	36,3722	53,3907	24,9638	97,1155	30,6661
142	86,4332	17,4975	21,9522	18,8634	20,192	4,6778	83,4451	65,3801	71,6733	38,7532
143	78,4472	17,7872	83,946	81,4584	0,5602	56,3006	91,8594	42,7596	73,6067	16,4236
144	20,6914	31,0632	21,0776	0,3337	33,25	16,5125	58,1077	2,9098	18,3493	85,3724
145	15,2014	80,56	70,3927	40,1906	88,9542	15,5092	86,406	15,2371	79,3737	99,9726
146	52,3307	65,7731	1,1253	60,5397	14,4786	92,9241	25,3494	53,7455	18,0015	64,4349
147	58,4082	31,2746	0,6946	58,9282	59,0194	30,5967	99,2302	47,5949	21,7801	25,7776
148	8,4274	78,0623	88,4673	7,2194	96,7433	77,889	71,8279	33,4719	83,4458	70,6304
149	13,4282	54,4723	17,0596	82,6842	47,9007	39,2563	88,6087	41,6938	61,7791	5,3995

151	61,0152	25,8405	50,4033	67,3447	77,5331	88,3236	40,7434	10,5998	8,4729	74,6164
152	9,1581	16,938	41,9143	19,6101	43,5749	7,2909	46,4708	15,5754	36,4839	99,344
153	32,217	65,2411	56,6902	84,1536	45,784	24,5695	42,9244	58,3861	87,654	98,0392
154	65,033	60,3348	39,3588	28,1389	61,542	93,2039	55,4842	35,2278	67,9845	53,0977
155	5,5789	7,6271	34,9253	60,8108	4,9878	74,3178	15,1039	55,4253	84,467	72,5872
156	29,9799	35,7633	81,8444	82,4298	60,6253	77,8887	98,9954	30,1169	3,2569	23,4778
157	28,0616	61,0672	65,729	92,1842	29,3116	84,401	37,1714	30,1009	31,2066	44,719
158	12,3639	19,7922	24,2123	58,3974	3,3326	35,0614	68,9055	1,084	15,2652	76,8756
159	40,5355	60,8757	69,7016	71,1264	57,5396	79,6	17,9688	85,4157	95,2191	97,7794
160	91,9735	9,5088	17,2062	1,2241	34,7339	49,9236	94,6438	72,5811	9,0744	34,3108
161	97,4598	35,834	61,1441	24,8052	27,454	72,9685	48,3391	49,498	79,2456	23,9495
162	93,2785	86,6442	19,1021	19,9788	69,3994	61,3675	36,7997	83,3206	0,4034	94,3899
163	0,9579	22,281	80,9525	30,366	98,1053	34,611	0,1317	27,1398	9,8753	92,4734
164	11,5263	96,9008	78,9619	61,5282	45,5303	35,1026	97,6109	60,389	25,2762	77,6951

166	21,0551	25,1379	7,3195	65,3081	96,3328	94,9933	86,4481	45,0195	23,3823	43,7714
167	67,8033	97,7147	7,3044	69,916	95,7468	61,6456	34,3356	19,373	35,6613	21,6143
168	21,2279	47,5145	32,307	79,4959	51,6508	21,1846	81,4162	37,6165	70,8525	23,2604
169	30,1453	89,6736	5,3152	97,531	18,3898	60,7631	8,8034	54,8901	91,5997	92,2935
170	81,3716	44,7466	22,7596	75,2469	44,7825	29,7855	67,6156	25,2759	24,3607	51,4922
171	52,8002	34,3573	67,7047	68,1037	91,5042	95,939	96,6727	1,9064	76,2289	60,1558
172	95,4961	17,0221	16,2853	72,0465	59,3754	51,2345	52,5204	39,7324	37,5751	85,0433
173	39,4355	41,213	48,718	9,1942	82,3388	33,419	40,0844	6,5296	12,3756	84,8373
174	47,9489	17,1805	66,4954	44,0781	20,004	24,9755	65,6679	84,0063	68,7067	34,1836
175	64,1383	77,2849	51,642	71,127	36,3063	98,4189	47,7372	61,6167	29,8834	41,8827
176	80,2391	61,8114	3,3351	24,5805	53,7569	50,1062	91,533	95,8216	68,3859	76,5581
177	89,8761	80,1946	24,8324	54,3628	67,4196	41,539	40,4953	4,5318	14,3981	27,3701
178	34,1494	74,9762	78,0793	67,0304	78,8593	9,3181	74,286	68,4218	64,7902	45,9078
179	29,3889	52,026	46,8071	1,7256	54,7828	30,5394	70,578	61,4633	84,0516	80,7328

181	62,9144	96,1923	19,9589	7,1734	16,3128	39,8886	81,028	21,1607	67,2529	60,4211
182	93,9993	15,1347	24,3681	98,1327	16,9446	6,9017	30,669	45,4611	80,5458	36,8179
183	88,2011	40,7215	63,5931	23,8654	78,6909	7,41	75,5874	31,1657	46,7223	36,9077
184	76,2499	8,1165	6,1361	1,8865	47,1152	99,8602	27,2424	10,945	74,7536	43,335
185	70,8068	59,0484	69,565	90,021	94,2356	17,3819	68,1476	3,9583	69,2708	69,2212
--
187	24,6495	17,2446	40,4717	52,8484	16,6435	21,7896	19,4533	53,846	65,6711	12,6936
188	15,5855	1,2001	72,6844	86,0157	84,7131	74,2307	24,9467	53,428	57,8801	45,8107
189	10,6659	5,2139	77,98	79,9446	97,6288	85,3496	1,1321	47,3957	89,0269	12,7888
190	52,9863	50,0417	61,6465	53,857	75,2363	31,1686	35,0084	68,6941	32,6025	4,7638
191	57,0254	68,1711	79,7243	0,4018	15,8248	98,9494	38,1083	1,3293	70,7411	12,2539
192	29,6776	50,5099	21,7514	36,9482	94,3865	2,3327	0,871	9,2728	60,4187	23,1498
193	75,0506	65,8195	15,4786	79,2301	9,8741	11,678	69,3109	4,1269	15,0793	33,2238
194	1,9174	32,3435	69,1965	58,3474	64,6537	73,2898	44,5016	62,9349	24,9424	73,6229

196	98,6967	11,8531	30,8247	48,2624	23,2577	3,0011	5,0472	23,1985	38,8039	9,3492
197	97,8895	68,9348	35,4328	54,1882	70,5304	24,7921	51,904	3,5008	69,5987	44,838
198	94,1815	42,1115	60,6534	49,1344	38,9694	34,4288	1,4321	97,6003	14,8368	47,9354
199	6,9426	79,5602	87,014	74,609	65,1807	50,5415	43,6597	32,8456	13,2388	73,5592
200	59,3233	71,6308	6,8727	56,7301	52,4319	27,3278	64,7427	14,3175	52,2542	58,4482
201	55,6019	96,4346	3,9175	53,1523	70,0089	29,4772	8,5836	80,8939	0,2875	33,5635
202	40,1518	93,3965	9,2598	59,3631	60,4802	78,9643	51,6818	47,5961	51,7891	93,7411
203	5,6618	80,2671	47,7158	19,4433	51,6243	58,9946	11,8303	18,523	83,4561	73,0491
204	9,2882	53,2815	38,9099	27,1336	98,1195	60,0371	44,0824	20,0348	17,2615	11,3113
205	79,4392	55,0275	39,3007	71,3646	89,5416	91,4099	64,3964	65,0564	73,3756	39,7254
206	65,4753	46,8879	4,4719	33,4414	45,7239	24,3884	12,2115	35,0683	62,7619	66,926
207	38,9834	24,0386	91,5864	85,3419	78,1978	26,2559	96,0112	38,4233	51,4201	46,084
208	50,3481	57,0953	66,1808	26,0401	98,2951	34,8025	65,0009	13,6047	68,9025	19,5656
209	55,2111	18,4956	0,6345	25,0281	26,7751	26,408	45,9942	51,9115	85,003	41,6124

211	68,516	82,1992	73,5169	54,3915	39,7353	49,1269	75,5536	51,2761	92,6945	95,7825
212	82,8595	74,2258	94,0859	37,859	1,7443	53,9234	40,0064	93,9345	77,5404	76,4244
213	91,1582	85,5882	1,2753	96,4512	27,5436	86,7755	82,0739	96,219	16,2497	58,2233
214	58,1016	16,657	52,7657	71,7763	46,4239	77,639	20,4998	25,9284	9,637	70,0593
215	71,9826	16,8057	21,8879	37,6741	61,3041	70,2608	60,2941	38,1588	57,4115	81,207
216	65,3638	50,8027	30,1395	67,4424	82,2374	5,3031	44,815	3,1784	43,8089	32,8197
217	74,4226	32,823	23,5968	63,9568	27,7133	98,942	56,7344	42,3232	72,9839	81,0391
218	25,0463	3,3917	14,2556	8,6391	82,4585	0,0511	61,9326	46,8391	67,2557	94,5521
219	40,2952	59,2258	15,1032	98,0721	39,9409	26,898	53,5836	83,7495	78,2997	31,8957
220	74,7495	92,2699	78,5476	5,2987	62,9498	4,4108	55,9555	4,462	36,4596	26,435
221	9,93	17,0997	25,3648	37,0266	33,9838	46,4913	84,6688	96,3573	92,0697	20,1096
222	78,3991	96,4566	77,7366	28,9284	74,7477	98,6185	31,3281	29,6771	61,059	27,8448
223	41,7086	3,9593	69,4765	32,809	23,1169	15,0761	22,961	6,5848	77,4022	14,6207
224	39,4671	3,3048	0,9445	62,1333	61,8343	86,5007	98,5894	89,446	87,9695	61,4708

226	75,4158	3,6713	25,5827	91,5133	80,1466	85,8613	88,5014	67,9141	22,3267	45,0143
227	62,5854	90,0103	26,8488	78,3116	46,4929	8,7845	38,106	93,5576	56,3831	87,3433
228	55,9114	58,4943	41,2556	18,0412	69,5231	88,723	74,1229	8,5714	95,8215	95,3134
229	47,7924	47,4574	76,5654	13,7459	70,3783	32,4353	12,9807	47,6411	0,502	38,2766
230	80,2751	12,4834	97,5169	29,3536	53,6308	53,3704	0,3552	10,1993	51,4962	42,359
231	18,4822	41,3386	84,0828	23,1489	47,1222	51,0594	68,5243	51,2363	33,5257	70,3764
232	90,3708	1,2703	12,4389	62,1231	17,2145	56,4121	92,261	34,8543	19,001	20,4042
233	64,1701	69,1105	49,161	49,9043	47,0897	96,3545	96,1248	33,4937	3,8329	16,0686
234	64,3594	74,3001	84,2779	18,5935	82,7654	14,21	78,4569	81,8298	42,0449	11,447
235	92,0683	86,9612	74,8373	87,6345	31,3293	27,1839	12,6893	96,8268	29,6707	81,0893
236	30,1763	5,0135	59,8399	63,4146	59,6698	51,3026	83,9192	12,0396	40,2283	71,1146
237	79,4561	54,8589	97,2269	9,2286	15,7813	71,5256	13,6686	49,866	54,1974	1,0667
238	4,9229	31,5776	21,3466	76,5597	22,1357	34,0828	71,8089	25,9777	22,5697	7,8882
239	72,6026	16,2716	5,9696	9,6809	99,9726	35,4574	91,2429	34,2916	90,2959	54,4779

241	14,6492	91,7955	54,7529	34,5298	53,3484	73,4155	83,7625	73,1734	17,3285	43,5002
242	14,8896	99,6248	59,0111	82,1595	12,867	40,0029	36,5322	33,1567	36,9598	86,8887
243	58,8271	14,6746	22,7454	95,2858	79,6051	21,2109	25,8541	66,9275	89,395	47,4341
244	47,4967	67,706	76,6623	98,2407	27,991	16,0537	71,3124	68,3019	32,2379	33,3852
245	71,0696	24,9655	90,2559	14,1106	68,3981	89,4555	35,6069	43,0365	63,2099	20,1523
246	28,2032	28,8552	85,4759	57,6708	5,9035	39,8133	2,8724	36,4444	89,025	61,8414
247	35,0491	44,3992	88,5231	25,0868	98,5533	95,6799	93,3574	75,7309	73,2047	20,9722
248	92,6497	60,8124	0,9968	85,503	13,4109	75,1893	69,0576	6,9424	86,3452	77,7928
249	26,2775	22,0381	78,4733	23,7979	18,5869	77,0755	66,7356	2,1344	81,8079	6,6489
250	31,9465	14,1388	11,4469	72,6177	81,0911	50,7578	95,6033	75,5625	26,688	89,7168
251	99,588	54,3243	68,2575	28,2909	91,7932	66,4962	99,409	25,5042	62,3785	16,0718
252	14,7638	50,3063	32,578	55,7459	93,6396	26,3368	34,4037	22,9791	92,6368	57,5409
253	1,429	14,1222	74,0506	68,4009	65,7953	27,3126	61,9061	61,0422	37,3471	94,9469
254	67,1869	15,6636	60,0285	62,1594	44,4783	40,2701	40,3753	17,7569	49,2558	67,165

256	13,2881	9,4139	21,1269	32,7872	59,1433	20,1451	6,0184	10,433	44,0837	38,7814
257	92,6418	65,191	57,0015	49,0088	23,5887	62,4147	6,3492	44,2861	76,6898	83,5824
258	11,2861	96,6871	77,5418	12,286	6,8438	42,975	73,9854	19,4136	57,7996	1,2055
259	73,2817	38,3309	38,2571	21,9009	43,1673	7,0213	28,467	14,279	3,9826	82,5599
260	39,5607	82,0367	18,9605	82,6436	30,4993	53,5777	64,099	19,3365	98,0181	17,3457
261	96,3765	62,1393	25,6303	33,1016	67,5293	45,8733	12,4698	77,5941	82,4008	56,2352
262	98,0694	83,8934	97,4792	58,8133	64,0178	74,7796	9,0715	23,6202	42,2557	63,8092
263	4,8035	47,3754	89,0449	5,647	75,1522	83,7587	33,9938	70,4262	70,5213	22,8717
264	67,8602	68,4644	3,0216	81,8319	53,2848	26,288	33,8426	19,5824	77,9399	48,2234
265	6,8912	79,6843	22,8647	57,4193	2,9815	21,7098	3,0866	35,8437	41,6371	4,5168
266	96,9807	35,8442	88,4169	23,0143	64,1759	74,1113	75,5299	47,1827	99,4465	55,4593
267	64,7779	16,6449	51,2065	61,8067	24,053	26,3349	54,9933	76,4499	77,2187	42,9128
268	57,3716	94,2483	41,5779	55,5797	35,0984	81,9212	17,7732	65,6236	88,8723	54,0952
269	3,0201	63,4811	8,6272	76,4537	49,4064	14,8282	27,8296	20,0683	6,1027	40,8387

271	69,9078	19,6072	11,8932	33,5645	66,8169	80,0125	88,0507	3,5747	71,7441	26,7586
272	65,2417	76,5715	19,7755	75,5643	22,5103	30,3365	66,6626	22,5048	92,6856	89,1257
273	7,637	98,5899	37,9205	95,5318	47,6846	82,6697	19,5105	91,5193	40,2388	35,8672
274	21,4091	43,964	41,6706	21,7861	40,423	68,0372	32,379	11,0747	43,0496	46,5879
275	33,8568	83,8851	23,3966	66,1521	24,5186	71,0951	11,6889	31,5709	45,287	64,8008
276	20,8327	75,4936	17,2847	21,7745	2,8746	7,2511	55,0336	1,1534	68,4225	37,0603
277	68,1964	18,5499	52,6381	80,2683	19,5721	76,8318	64,336	40,3985	65,7403	92,1566
278	49,8797	99,5266	0,0073	18,7796	32,6729	27,9683	50,2703	52,6734	40,7538	64,8609
279	4,7258	54,5649	27,3344	55,4808	10,5993	99,7674	44,7035	81,6102	83,8358	52,7702
280	48,1647	33,9539	43,2834	11,0596	93,4771	52,0041	66,9411	65,0348	24,219	61,9911
281	93,8291	47,3867	42,681	29,68	54,717	1,1478	27,0004	94,8721	70,0381	40,0957
282	26,7143	97,6158	0,2602	63,401	53,3308	17,7933	84,4863	5,0525	79,2755	37,557
283	94,8659	79,1094	60,495	16,0264	50,0075	43,6708	23,7393	51,718	1,4982	30,3624
284	22,7554	89,9038	18,7532	64,2947	76,3717	65,8922	66,7321	27,8957	91,3249	96,1279

286	92,0677	80,3526	82,5709	37,6018	31,5252	83,101	73,1644	10,9691	92,337	87,8744
287	67,9633	83,7251	21,7978	15,4403	85,8009	81,4285	67,3584	62,3907	63,844	71,7397
288	24,862	6,3761	69,2711	5,1944	74,3537	58,7415	55,4145	16,6559	37,2403	4,5241
289	20,57	50,302	46,3903	90,1511	65,199	31,0587	56,8372	30,0349	92,4314	97,0546
290	34,8562	56,5863	77,3932	5,6241	91,7416	51,486	52,8121	90,2082	2,4873	93,2649
291	51,1938	58,229	34,0995	61,4995	15,0809	50,3549	12,5246	81,0892	82,8423	40,1283
292	93,0828	20,8111	59,6914	99,1888	14,1834	17,1024	53,9125	86,1681	30,7982	40,9059
293	76,0572	75,6601	80,3237	99,7478	62,2599	62,6405	77,6923	94,3032	6,5054	29,9525
294	72,5304	34,1466	81,7883	79,9178	29,902	87,8176	95,5427	9,7229	71,2873	35,801
295	71,4014	50,7869	98,2145	38,2942	71,4942	94,9692	42,8391	61,5188	82,2484	71,4532
296	78,4143	32,4457	71,6197	70,9687	83,6129	76,7843	38,8641	52,3291	23,1046	65,6238
297	46,3709	7,269	29,6729	90,3496	45,6279	51,9068	60,6074	45,4058	27,5929	25,0045
298	65,9944	46,654	8,4531	53,9959	59,798	37,3424	81,3564	16,1896	57,5983	43,7379
299	58,176	11,7646	56,8181	69,4119	11,1591	42,257	5,9482	65,4236	7,6341	46,656

301	58,7377	28,3028	86,1708	5,8964	25,556	17,7745	87,0597	96,8129	70,8886	67,3013
302	14,7627	96,3563	19,2619	11,5617	50,5198	43,5277	3,6823	91,0456	70,4864	57,0512
303	19,7601	46,535	3,3926	80,1207	24,2004	65,5497	41,3266	12,7097	62,4134	78,4369
